codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
49651;A-163/CENIPA/2013 - 01;2018-09-24;2018-09-24;NULL;Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar operadores e mantenedores da aeronave Cessna 152 sobre a importância do cumprimento do programa de manutenção da aeronave/motor, o qual aponta a obrigatoriedade do cumprimento do Textron Lycoming Mandatory Service Bulletin nº 388.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49618;IG-157/CENIPA/2013 - 01;2016-07-22;2016-07-14;2017-01-26;Realizar gestões junto à empresa VOAR Aviação Ltda., a fim de certificar-se que os procedimentos e métodos garantam o retorno ao serviço, após manutenções corretivas ou preventivas, dentro do nível de segurança aceitável.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49618;IG-157/CENIPA/2013 - 02;2016-07-22;2016-07-14;2017-01-26;Realizar gestões junto à empresa VOAR Aviação Ltda., a fim de certificar-se que os técnicos estão realizando as intervenções corretivas ou preventivas, dentro de uma carga de trabalho que não comprometa os níveis de segurança aceitáveis.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49618;IG-157/CENIPA/2013 - 03;2016-07-22;2016-07-14;2016-09-14;Realizar gestões junto à empresa VOAR Aviação Ltda, a fim de certificar-se que as ações de supervisão sejam revistas, a fim de garantir que as intervenções corretivas ou preventivas sejam realizadas de acordo com as autorizações contidas em seus adendos;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49618;IG-157/CENIPA/2013 - 04;2016-07-22;2016-07-14;2017-09-27;Realizar gestões junto à empresa NEO Táxi Aéreo, com o intuito de certificar-se que esta adote um correto planejamento gerencial, a fim de evitar que as pressões operacionais não se sobreponham às necessidades das ações de manutenção.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49611;A-160/CENIPA/2013 – 001;2015-07-21;2015-08-21;2015-11-26;Divulgar o conteúdo deste relatório em seminários, simpósios, palestras e atividades afins voltadas à Aviação Geral.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49593;A-154/CENIPA/2013-01;2019-04-08;2019-04-17;2019-07-18;REALIZAR AUDITORIA NA ATC-AERONAVES TURBINAS E COMPONENTES LTDA., A FIM DE VERIFICAR A CONFORMIDADE DOS SERVIçOS EXECUTADOS POR TAL EMPRESA, EM ESPECIAL NO TOCANTE à MONTAGEM DO ROLAMENTO 2½ DO MOTOR ROLLS-ROYCE / ALLISON, MODELO 250-C20J.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49593;A-154/CENIPA/2013-02;2019-04-08;2019-04-17;2019-07-18;ATUAR JUNTO à DELTA AERO TáXI LTDA. A FIM DE QUE AQUELE OPERADOR INCREMENTE O TREINAMENTO DE AUTORROTAçãO OFERECIDO A SEUS PILOTOS.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49593;A-154/CENIPA/2013-03;2019-04-08;2019-04-17;2019-07-18;DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAçãO, A FIM DE ALERTAR PILOTOS, OPERADORES E, PRINCIPALMENTE, MANTENEDORES QUANTO AO FIEL E IRRESTRITO CUMPRIMENTO DOS PROCEDIMENTOS PREVISTOS NAS ATIVIDADES DE MANUTENçãO, MORMENTE A SUPERVISãO FINAL DOS SERVIçOS POR PARTE DOS INSPETORES.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49454;A-149/CENIPA/2013 - 01;2019-06-28;2019-08-20;2020-05-25;ATUAR JUNTO àS ORGANIZAçõES DE MANUTENçãO CERTIFICADAS, A FIM DE QUE QUALQUER EVENTO SéRIO DE FALHA, MAU FUNCIONAMENTO OU DEFEITO RELACIONADO AO MOTOR ARRIUS 2 F QUE EQUIPA A AERONAVE EC120B - COLIBRI SEJA RELATADO A ESSA AGêNCIA EM ATé 96 HORAS APóS A SUA DESCOBERTA, POR MEIO DE RELATóRIOS DE DIFICULDADES EM SERVIçO.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49454;A-149/CENIPA/2013 - 02;2019-06-28;2019-08-20;2020-05-25;REALIZAR UMA AUDITORIA NA ORGANIZAçãO DE MANUTENçãO SAFRAN HELICOPTER ENGINES DO BRASIL, A FIM DE VERIFICAR A CONFORMIDADE DE SEUS PROCEDIMENTOS, EM ESPECIAL NO TOCANTE à MANUTENçãO DOS MOTORES ARRIUS 2F.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49454;A-149/CENIPA/2013 - 03;2019-06-28;2019-08-20;2020-05-25;REALIZAR UMA AUDITORIA NA ORGANIZAçãO DE MANUTENçãO DA HELIBRAS, EM SãO PAULO-SP, A FIM DE VERIFICAR A CONFORMIDADE DE SEUS PROCEDIMENTOS, EM ESPECIAL NO TOCANTE AO MODELO EC120B.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49454;A-149/CENIPA/2013 - 04;2019-06-28;2019-08-20;2019-09-12;DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAçãO, A FIM DE ELEVAR A CONSCIêNCIA SITUACIONAL DE PILOTOS E OPERADORES DAS AERONAVES EC120B - COLIBRI, SOBRETUDO NO QUE DIZ RESPEITO à POSSIBILIDADE DE FALHA DO MOTOR EM VOO DECORRENTE DA PERDA DE PRESSãO DE óLEO DO SISTEMA DE LUBRIFICAçãO.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49454;A-149/CENIPA/2013 - 05;2019-06-28;2019-08-20;2019-09-12;DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAçãO, A FIM DE ALERTAR OPERADORES E MANTENEDORES DA AERONAVE EC120B - COLIBRI SOBRE A IMPORTâNCIA DO CUMPRIMENTO DA SERVICE LETTER N° 2818/11/ARRIUS2F, COMO FERRAMENTA DE PREVENçãO DE OCORRêNCIAS AERONáUTICAS.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49237;A-141/CENIPA/2013 – 001;2015-03-20;2015-07-30;2015-12-15;Informar aos administradores de aeródromos públicos quanto à responsabilidade de manter as informações aeronáuticas atualizadas com relação às reais condições de operação do aeródromo.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49237;A-141/CENIPA/2013 – 002;2015-03-20;2015-07-30;2015-12-15;Verificar as reais condições de operação do Aeródromo de Paragominas (SNEB), e adotar as medidas julgadas cabíveis para garantir a operação segura no aeródromo.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49233;A-140/CENIPA/2013 - 01;2020-07-24;2020-08-07;2021-05-05;Atuar junto à Organização de Manutenção CONAL Avionics e Eletrônica de Aeronaves Ltda., a fim de que aquela organização demonstre que possui e aplica todos os recursos necessários à adequada prestação de serviços de manutenção e registros de manutenção das aeronaves BEECH AIRCRAFT, modelo 58, e dos motores Continental, modelo IO-520-CB, durante os procedimentos de manutenção, preventivos e corretivos, do sistema de combustível, notadamente quanto da substituição das tubulações flexíveis no que se refere à rastreabilidade de peças utilizadas, bem como na possibilidade da contaminação deste sistema por material estranho.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49158;IG-136/CENIPA/2013 - 01;2021-10-04;2022-02-11;2022-06-09;Atuar junto aos operadores de aeronaves ATR, a fim de que estes garantam que os treinamentos teóricos, simulados e práticos sejam suficientes para que as tripulações adquiram o conhecimento e desenvolvam as habilidades necessárias para reconhecer e realizar as ações adequadas em um voo sob condições de formação de gelo.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49158;IG-136/CENIPA/2013 - 02;2021-10-04;2022-02-11;2022-06-09;Atuar junto aos operadores de aeronaves ATR, a fim de que estes implementem a filosofia UPRT no manual de operação da companhia aérea e no treinamento associado.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49125;A-127/CENIPA/2013 – 001;2015-06-15;2016-01-11;2016-02-12;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de helicópteros da aviação geral.;IMPLEMENTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49119;A-133/CENIPA/2013 - 001;2014-05-29;2014-07-28;2014-12-30;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves agrícolas regulados pelo RBAC 137.;IMPLEMENTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49116;A-131/CENIPA/2015 – 01;2016-04-22;2016-05-17;2018-03-05;Enfatizar a necessidade de ser reportada pelos controladores de tráfego aéreo a possibilidade de existência de esteira de turbulência durante pousos e decolagens de aeronaves, no intuito de alertar as tripulações quanto aos espaçamentos de tempo previstos na ICA 100-37 – Serviços de Tráfego Aéreo.;IMPLEMENTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
49113;IG-129/CENIPA/2013 RS 001;2014-06-16;2014-08-18;2014-12-30;Divulgar o conteúdo deste Relatório Final Simplificado aos operadores das aeronaves Robinson 22 e 44, com a finalidade de alertá-los quanto à possibilidade de interpretações equivocadas de emergências que possam colocar a aeronave em risco desnecessário.;IMPLEMENTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49113;IG-129/CENIPA/2013 RS 002;2014-06-16;2014-08-18;2015-01-29;Certificar-se da capacitação da Empresa WIP AVIAÇÃO em efetuar a revisão dos magnetos utilizados nas aeronaves tipo Robinson R44.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49113;IG-129/CENIPA/2013 RS 003;2014-06-16;2014-08-18;2015-01-29;Certificar-se da capacitação da Empresa de Manutenção CLARO AVIAÇÃO em efetuar as revisões previstas no programa de manutenção das aeronaves tipo Robinson R-44.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
49113;IG-129/CENIPA/2013 RS 004;2014-06-16;2014-08-18;NULL;Reavaliar procedimentos internos para que qualquer comunicação recebida via fonia, ou por qualquer outro meio, de ocorrência que não se enquadre como evento SAR, porém que possa ser classificada como ocorrência de interesse do SIPAER, seja comunicada ao elo SIPAER responsável pela área da ocorrência.;IMPLEMENTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
48797;A-108/CENIPA/2013 – 001;2015-07-07;2015-08-21;2016-08-29;Estabelecer requisito que exija do fabricante a disponibilização de publicações operacionais em língua portuguesa, quando se tratar de equipamento destinado à operação aeroagrícola.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48797;A-108/CENIPA/2013 – 002;2015-07-07;2015-08-21;2016-01-06;Estabelecer requisito que exija do piloto a demonstração proficiência teórica nas publicações operacionais, nos limites e na performance em aeronaves turboélice, quando se tratar de equipamento destinado à operação aeroagrícola.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48796;A-109/CENIPA/2013 – 001;2015-06-15;2015-07-30;2015-10-21;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores regulados pelo RBHA 91.;IMPLEMENTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48796;A-109/CENIPA/2013 – 002;2015-06-15;2015-07-30;2015-12-15;Interceder, junto à Prefeitura de Envira, AM, para que esta proceda à homologação ou, pelo menos, o registro da pista de Envira, AM, junto à autoridade de aviação civil ou, se não for de interesse, proceder à interdição definitiva da pista.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48795;A-112/CENIPA/2013 - RS 001;2014-03-27;2014-07-28;2016-05-24;Realizar visitoria técnica na empresa Heiss Táxi Aéreo Ltda, com intuito de analisar e propor melhoria nos processos de Gerenciamento da Segurança Operacional, principalmente quanto à análise do perigo e ao gerenciamento do risco.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48791;A-111/CENIPA/2013 - RS 001;2014-04-07;2014-07-28;2016-05-24;Realizar ação de fiscalização na HEISS TÁXI AÉREO LTDA., tendo em vista as violações encontradas durante a investigação do acidente e expostas nesta SUMA, indo completamente contra aos regulamentos aeronáuticos em vigor.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48727;A-113/CENIPA/2013 – 01;2016-06-03;2016-07-14;2016-12-19;Estudar a necessidade de mudanças no RBHA 91, de modo a assegurar que certos operadores, regidos por este regulamento, sejam obrigados a cumprir requisitos operacionais mínimos de forma a garantir a segurança das operações.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48727;A-113/CENIPA/2013 – 02;2016-06-03;2016-07-14;2016-12-12;Avaliar junto ao operador da aeronave a implementação de uma supervisão mais rígida, com a inclusão de reuniões de coordenação diárias ou semanais com todos os envolvidos nas operações.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48662;IG-100/CENIPA/2013-RSV001;2013-09-16;2013-12-05;2015-03-17;Assegurar-se de que a TROPIC AIR TAXI AEREO LTDA adota medidas adequadas de manutenção do sistema do trem de pouso da sua aeronave modelo EMB 721C, particularmente, no que se refere à lubrificação dos elementos de articulação e travamento, tendo em vista as sucessivas operações de lavagem daqueles componentes e as características do ambiente em que transcorrem as operações da aeronave.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48652;A-103/CENIPA/2013-01;2018-09-24;2019-03-26;2019-12-02;APERFEIçOAR A REDAçãO DA SEçãO 91.102 DO RBHA 91, VISANDO INCLUIR, DENTRE OS CRITéRIOS Já ESTABELECIDOS PARA A OPERAçãO DE EMBARQUE OU DESEMBARQUE DE PASSAGEIROS EM HELICóPTEROS COM O(S) MOTOR(ES) EM FUNCIONAMENTO, A OBRIGATORIEDADE DA PERMANêNCIA DE PILOTO DEVIDAMENTE HABILITADO, NO CORRESPONDENTE POSTO DE PILOTAGEM.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48652;A-103/CENIPA/2013-02;2018-09-24;2019-03-26;2019-12-02;INCLUIR DISPOSITIVO NO RBHA 91 ESTABELECENDO A OBRIGATORIEDADE DA REALIZAçãO DE BRIEFING DIRIGIDO AOS PASSAGEIROS, PELOS PILOTOS, ABORDANDO ASPECTOS DE SEGURANçA RELATIVOS àS OPERAçõES DE EMBARQUE E DESEMBARQUE DAS AERONAVES DE ASAS ROTATIVAS.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48438;A-097/CENIPA/2013 - RS 001;2014-06-03;2014-08-11;2015-12-21;Reiterar a importância do CRM como ferramenta de segurança operacional, por ocasião de eventos relacionados à aviação em geral, e nas obtenções e revalidações de CHT, destacando questões de divisão de tarefas, familiarização com procedimentos de emergência, com ênfase específica na manutenção;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48053;A-094/CENIPA/2013-RSV001;2013-09-16;2013-12-05;2014-04-17;"""Observar o rigoroso cumprimento do Manual de Procedimentos MPR 100, Rev 06, considerando a necessidade de criteriosa observação dos parâmetros de segurança no tocante aos critérios de liberação de AEV, conforme o previsto em 7.10.4: """"Realizar a maior e mais abrangente inspeção prevista no programa de manutenção da aeronave, recomendado pelo fabricante ou aprovado do operador, incluindo qualquer item especial, horário ou calendárico estipulado"""". Tal quesito reveste-se de especial importância nos casos de CA suspenso ou IAM vencida, para as aeronaves há longo tempo sem ação de preservação ou estocagem# situação esta que requer a verificação por pessoa credenciada para liberar o voo da aeronave.""";NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
48013;A-095/CENIPA/2013- 01;2021-12-30;2022-01-03;2022-05-02;Divulgar os ensinamentos colhidos na presente investigação aos Centros de Instrução de Aviação Civil que ministram cursos teóricos e práticos de helicópteros.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47992;A-087/CENIPA/2013-RSV001;2013-07-16;2013-08-14;2016-05-24;Enfatizar, nas atividades educativas e nas vistorias em aeroclubes e centros de treinamento de aviação civil, a importância do adequado preparo teórico e prático dos instrutores e alunos, no que se refere ao controle e às reações das aeronaves convencionais, sobretudo quanto ao risco de toque da hélice no solo.;IMPLEMENTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47983;A-086/CENIPA/2013 - 01;2020-07-24;2020-08-07;2020-11-03;Atuar junto à Polícia Civil do Estado do Rio de Janeiro, a fim de que aquele operador aprimore os treinamentos de Crew Resource Management (CRM) oferecidos a seus tripulantes, sobretudo no que diz respeito às comunicações, definições de tarefas e interações interpessoais necessárias à manutenção da segurança operacional durante os procedimentos para decolagem.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47983;A-086/CENIPA/2013 - 02;2020-07-24;2020-08-07;2020-11-03;Atuar junto à Polícia Civil do Estado do Rio de Janeiro, a fim de que os métodos de gerenciamento do risco, previstos no Sistema de Gerenciamento de Segurança Operacional (SGSO) adotado pelo operador, sejam aprimorados, sobretudo no que diz respeito ao planejamento de voo e a operação em área restrita.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47983;A-086/CENIPA/2013 - 03;2020-07-24;2020-08-07;2020-11-03;Atuar junto à Polícia Civil do Estado do Rio de Janeiro, a fim de que aquele operador analise a viabilidade de incluir em seu Programa de Treinamento a utilização de simulador de voo, com a finalidade de complementar os treinamentos de seus tripulantes, particularmente em relação à operação em áreas restritas e aos conceitos de CRM.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47983;A-086/CENIPA/2013 - 04;2020-07-24;2020-08-07;2020-11-03;Atuar junto à Polícia Civil do Estado do Rio de Janeiro, a fim de que aquele operador implemente uma mudança na cultura organizacional, tendo como foco a elevação da percepção coletiva acerca da importância do fiel cumprimento das regras estabelecias pelos órgãos reguladores do Sistema da Aviação Civil, sobretudo no que diz respeito ao efetivo gerenciamento do risco inerente às operações especiais da aviação de segurança pública.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47983;A-086/CENIPA/2013 - 05;2020-07-24;2020-08-07;2020-11-03;Atuar junto à Polícia Civil do Estado do Rio de Janeiro, a fim de que aquele operador aperfeiçoe seus mecanismos de supervisão gerencial, visando incrementar os níveis de competência e segurança operacional requeridos para o desempenho das atividades de segurança pública para as quais tal organização é certificada.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47981;A-084/CENIPA/2013 - 001;2014-10-08;2014-12-15;2015-06-07;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves agrícolas.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47981;A-084/CENIPA/2013 - 002;2014-10-08;2014-12-15;2016-07-19;Divulgar os ensinamentos decorrentes desse acidente como forma de coibir a realização de manobras não condizentes com o modelo de aeronave e com a altura de voo.;IMPLEMENTADA;SINDAG;SINDICATO NACIONAL DAS EMPRESAS DE AVIAÇÃO AGRÍCOLA
47966;A-089/CENIPA/2013 – 001;2015-04-24;2015-05-26;2015-06-11;Divulgar o conteúdo deste relatório em seminários, simpósios, palestras e atividades afins voltados à Aviação Agrícola.;IMPLEMENTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47966;A-089/CENIPA/2013 – 002;2015-04-24;2015-05-26;2015-10-22;Intensifcar a fiscalização sobre os operadores regulados pelo RBAC 137.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47938;I - 067/CENIPA/2013 – RSV 001;2013-07-10;2013-07-18;2016-01-19;Assegurar que todas as solicitações de NOTAM enviadas ao ICA, no que diz respeito à infraestrutura aeroportuária, estejam contemplando as informações necessárias aos aeronavegantes de maneira clara, simples, concisa, livre de ambiguidades, de modo a ser compreendida sem necessidade de consultas a outros documentos, conforme prevê a ICA 53-1 no item 2.3.5.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47938;I - 067/CENIPA/2013 – RSV 002;2013-07-10;2013-07-18;2016-01-19;Aperfeiçoar o processo de coordenação entre a ANAC, os Operadores de Aeródromos e o DECEA, relativos as informações de Segurança Operacional que possam ser utilizadas pelos aeronavegantes, principalmente nos aeródromos que estejam passando por processo de modificação de infraestrutura aeroportuária.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47938;I - 067/CENIPA/2013 – RSV 003;2013-07-10;2013-07-18;2014-04-28;Verificar junto aos Operadores Brasileiros e Estrangeiros que operam em aeródromos brasileiros o que estabelece o RBHA 91.101, RBHA 91.102 e o RBAC 129.19 (a) (b) (c), tendo em vista que durante a investigação do incidente foi observado a existência de diferentes Cartas de Aeródromo (ADC) associadas ao Aeródromo de Brasília, e ainda, os Boletins Informativos de Segurança Operacional produzidos e emitidos pelo Operador do Aeródromo, todos eles apresentando diferenças entre si, e que podem ser condições latentes para ocorrências aeronáuticas.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47938;I - 067/CENIPA/2013 – RSV 004;2013-07-10;2013-07-18;2016-01-19;Atuar junto aos Operadores de Aeródromos com objetivo de estabelecer procedimentos formais, de modo que o Setor de Engenharia disponibilize todos os dados necessários para que o Setor de Operações possa formalizar a solicitação de NOTAM contendo, de maneira completa e oportuna, todas as informações que os usuários do aeródromo necessitam para elaborar o planejamento dos voos de maneira segura, especialmente os dados relativos a alguma restrição temporária ou definitiva às operações aéreas, em consonância com a ICA 53-1/2012.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47938;I - 067/CENIPA/2013 – RSV 005;2013-07-10;2013-07-18;2016-01-19;Atuar junto aos Operadores de Aeródromos com objetivo de estabelecer procedimentos formais, de modo que os Setores de Engenharia e de Operações disponibilizem, oportunamente, todos os dados necessários para que os DTCEA disponham de tempo suficiente para o treinamento dos controladores de tráfego aéreo e à difusão aos usuários dos aeródromos (através de radiodifusão ATIS), relativos às modificações a serem introduzidas na rotina operacional.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47938;I - 067/CENIPA/2013 – RSV 006;2013-07-10;2013-07-18;2016-01-19;Atuar junto ao Operador de Aeródromo com objetivo de orientar que as solicitações de NOTAM ocorram de modo planejado e definitivo, evitando as emissões sucessivas de NOTAM para retificar informações já divulgadas, tendo em vista o impacto negativo que as alterações sequenciadas sobre o mesmo assunto têm sobre a segurança operacional, em observância ao item 2.3.5 da ICA 53-1/2012.;IMPLEMENTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47938;I - 067/CENIPA/2013 – RSV 007;2013-07-10;2013-07-18;2013-08-12;Divulgar o conteúdo deste Relatório Final a todos os Operadores de Aeródromos brasileiros.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47938;I - 067/CENIPA/2013 – RSV 008;2013-07-10;2013-07-18;2014-07-17;Aperfeiçoar de maneira padronizada e sistêmica o briefing diário de alerta ao pessoal de serviço, realizado pelos Supervisores de Equipe, sobre todas as informações que possam ser utilizadas pelos controladores de tráfego aéreo, principalmente nos aeródromos que estejam passando por processo de modificação de infraestrutura aeroportuária.;IMPLEMENTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
47938;I - 067/CENIPA/2013 – RSV 009;2013-07-10;2013-07-18;2014-07-17;Aperfeiçoar o processo de coordenação e troca de informações com os Operadores de Aeródromos e a ANAC sobre todas as informações e ferramentas que possam ser utilizadas pelos controladores de tráfego aéreo, e consequentemente, pelos aeronavegantes, principalmente nos aeródromos que estejam passando por processo de modificação de infraestrutura aeroportuária.;IMPLEMENTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
47938;I - 067/CENIPA/2013 – RSV 010;2013-07-10;2013-07-18;2014-07-17;Estudar uma forma de manter uma atualização intermediária das cartas ADC, dos aeródromos que estejam passando por processo de modificação de infraestrutura aeroportuária, a fim de mitigar o risco da possibilidade de utilização de outros documentos, como boletins informativos e cartas confeccionadas pelos operadores.;IMPLEMENTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
47938;I - 067/CENIPA/2013 – RSV 011;2013-07-10;2013-07-18;2014-07-17;Divulgar o conteúdo deste Relatório Final a todos os Destacamentos de Controle de Espaço Aéreo.;IMPLEMENTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
47901;IG-080/CENIPA/2013 - 01;2014-11-24;2015-03-09;2016-07-11;Assegurar-se de que os processos para execução de overhaul realizados pela Heringer Táxi-Aéreo, previstos para os atuadores PN 50-820208-5 são, rigorosamente, cumpridos conforme determinado pelo fabricante, uma vez que o mesmo falhou com CSO de, apenas, 183 ciclos.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47888;IG-079/CENIPA/2013-RSV001;2013-07-16;2013-08-14;2016-05-24;Atuar junto aos Aeroclubes e aos Centros de Treinamento de Aviação Civil visando à revisão e o cumprimento dos procedimentos inerentes ao ajuste da mistura em voo de cruzeiro e, quando aplicável, os procedimentos para limpeza de vela, com a finalidade de evitar a formação de resíduos de chumbo nas aeronaves que operam motores convencionais.;IMPLEMENTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47879;A-083/CENIPA/2013 - 001;2014-10-27;2014-12-15;2015-04-07;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves reguladas pelo RBAC 135.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
47879;A-083/CENIPA/2013 - 002;2014-10-27;2014-12-15;2016-01-12;Tendo em vista as condições latentes listadas no conteúdo deste relatório, intensificar as ações de fiscalização no operador da aeronave acidentada.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
